negara,provinsi,tanggal,terkonfirmasi,meninggal,sembuh,aktif
Russia,Adygea Republic,2021-01-01,11103,92,9085,1926
Russia,Altai Krai,2021-01-01,33124,888,30660,1576
Russia,Altai Republic,2021-01-01,13901,103,13104,694
Russia,Amur Oblast,2021-01-01,16004,105,14415,1484
Russia,Arkhangelsk Oblast,2021-01-01,43679,443,34495,8741
Russia,Astrakhan Oblast,2021-01-01,19187,389,12731,6067
Russia,Bashkortostan Republic,2021-01-01,19234,145,15153,3936
Russia,Belgorod Oblast,2021-01-01,22007,262,20143,1602
Russia,Bryansk Oblast,2021-01-01,23343,216,21566,1561
Russia,Buryatia Republic,2021-01-01,25909,595,23333,1981
Russia,Chechen Republic,2021-01-01,8783,93,4531,4159
Russia,Chelyabinsk Oblast,2021-01-01,35008,542,23245,11221
Russia,Chukotka Autonomous Okrug,2021-01-01,539,4,480,55
Russia,Chuvashia Republic,2021-01-01,16488,538,14867,1083
Russia,Dagestan Republic,2021-01-01,23622,1124,20301,2197
Russia,Ingushetia Republic,2021-01-01,12227,141,10149,1937
Russia,Irkutsk Oblast,2021-01-01,40785,1233,36091,3461
Russia,Ivanovo Oblast,2021-01-01,21444,521,16505,4418
Russia,Jewish Autonomous Okrug,2021-01-01,3765,72,2953,740
Russia,Kabardino-Balkarian Republic,2021-01-01,15926,263,14120,1543
Russia,Kaliningrad Oblast,2021-01-01,18013,178,16305,1530
Russia,Kalmykia Republic,2021-01-01,14879,200,12470,2209
Russia,Kaluga Oblast,2021-01-01,21222,172,19911,1139
Russia,Kamchatka Krai,2021-01-01,10176,82,8997,1097
Russia,Karachay-Cherkess Republic,2021-01-01,15215,41,13637,1537
Russia,Karelia Republic,2021-01-01,27910,163,21665,6082
Russia,Kemerovo Oblast,2021-01-01,25887,470,22980,2437
Russia,Khabarovsk Krai,2021-01-01,35419,204,31286,3929
Russia,Khakassia Republic,2021-01-01,17680,264,14727,2689
Russia,Khanty-Mansi Autonomous Okrug,2021-01-01,41514,544,37963,3007
Russia,Kirov Oblast,2021-01-01,25864,230,19403,6231
Russia,Komi Republic,2021-01-01,30606,578,28439,1589
Russia,Kostroma Oblast,2021-01-01,15102,235,11397,3470
Russia,Krasnodar Krai,2021-01-01,27922,946,18783,8193
Russia,Krasnoyarsk Krai,2021-01-01,46833,1725,41500,3608
Russia,Kurgan Oblast,2021-01-01,12102,170,10678,1254
Russia,Kursk Oblast,2021-01-01,20980,305,19071,1604
Russia,Leningrad Oblast,2021-01-01,24056,265,21690,2101
Russia,Lipetsk Oblast,2021-01-01,16192,258,12378,3556
Russia,Magadan Oblast,2021-01-01,7048,65,6542,441
Russia,Mari El Republic,2021-01-01,9234,121,8219,894
Russia,Mordovia Republic,2021-01-01,13578,95,11225,2258
Russia,Moscow,2021-01-01,815676,11280,633702,170694
Russia,Moscow Oblast,2021-01-01,156898,2914,113744,40240
Russia,Murmansk Oblast,2021-01-01,36363,655,33259,2449
Russia,Nenets Autonomous Okrug,2021-01-01,796,0,697,99
Russia,Nizhny Novgorod Oblast,2021-01-01,70321,1663,62602,6056
Russia,North Ossetia - Alania Republic,2021-01-01,12098,101,10700,1297
Russia,Novgorod Oblast,2021-01-01,18520,99,13825,4596
Russia,Novosibirsk Oblast,2021-01-01,28037,974,24240,2823
Russia,Omsk Oblast,2021-01-01,30368,878,27683,1807
Russia,Orel Oblast,2021-01-01,21544,270,19579,1695
Russia,Orenburg Oblast,2021-01-01,28922,345,25363,3214
Russia,Penza Oblast,2021-01-01,26244,321,21188,4735
Russia,Perm Krai,2021-01-01,30956,1143,25114,4699
Russia,Primorsky Krai,2021-01-01,29522,379,21247,7896
Russia,Pskov Oblast,2021-01-01,23598,100,12179,11319
Russia,Rostov Oblast,2021-01-01,52043,2077,42352,7614
Russia,Ryazan Oblast,2021-01-01,18296,162,16764,1370
Russia,Saint Petersburg,2021-01-01,245870,7769,151505,86596
Russia,Sakha (Yakutiya) Republic,2021-01-01,26547,394,24026,2127
Russia,Sakhalin Oblast,2021-01-01,15886,17,13460,2409
Russia,Samara Oblast,2021-01-01,31704,618,29316,1770
Russia,Saratov Oblast,2021-01-01,35596,421,30519,4656
Russia,Smolensk Oblast,2021-01-01,17215,337,13823,3055
Russia,Stavropol Krai,2021-01-01,35325,740,31909,2676
Russia,Sverdlovsk Oblast,2021-01-01,58980,1527,51326,6127
Russia,Tambov Oblast,2021-01-01,17810,188,15982,1640
Russia,Tatarstan Republic,2021-01-01,13375,186,10738,2451
Russia,Tomsk Oblast,2021-01-01,24600,218,20299,4083
Russia,Tula Oblast,2021-01-01,23056,760,20243,2053
Russia,Tver Oblast,2021-01-01,22503,456,17884,4163
Russia,Tyumen Oblast,2021-01-01,23523,204,22147,1172
Russia,Tyva Republic,2021-01-01,14791,157,13621,1013
Russia,Udmurt Republic,2021-01-01,19854,388,16211,3255
Russia,Ulyanovsk Oblast,2021-01-01,36589,474,33625,2490
Russia,Vladimir Oblast,2021-01-01,18739,510,16931,1298
Russia,Volgograd Oblast,2021-01-01,35699,464,33919,1316
Russia,Vologda Oblast,2021-01-01,23761,438,19039,4284
Russia,Voronezh Oblast,2021-01-01,46589,1175,43968,1446
Russia,Yamalo-Nenets Autonomous Okrug,2021-01-01,32273,336,25074,6863
Russia,Yaroslavl Oblast,2021-01-01,22483,194,21094,1195
Russia,Zabaykalsky Krai,2021-01-01,27480,386,25377,1717
Russia,Adygea Republic,2021-01-02,11184,93,9147,1944
Russia,Altai Krai,2021-01-02,33334,898,30810,1626
Russia,Altai Republic,2021-01-02,13972,103,13136,733
Russia,Amur Oblast,2021-01-02,16140,105,14500,1535
Russia,Arkhangelsk Oblast,2021-01-02,44020,443,34849,8728
Russia,Astrakhan Oblast,2021-01-02,19361,393,12815,6153
Russia,Bashkortostan Republic,2021-01-02,19403,145,15187,4071
Russia,Belgorod Oblast,2021-01-02,22201,266,20161,1774
Russia,Bryansk Oblast,2021-01-02,23544,216,21648,1680
Russia,Buryatia Republic,2021-01-02,26091,599,23508,1984
Russia,Chechen Republic,2021-01-02,8895,93,4701,4101
Russia,Chelyabinsk Oblast,2021-01-02,35309,547,23276,11486
Russia,Chukotka Autonomous Okrug,2021-01-02,539,4,480,55
Russia,Chuvashia Republic,2021-01-02,16598,549,14960,1089
Russia,Dagestan Republic,2021-01-02,23781,1129,20449,2203
Russia,Ingushetia Republic,2021-01-02,12302,141,10234,1927
Russia,Irkutsk Oblast,2021-01-02,41056,1245,36305,3506
Russia,Ivanovo Oblast,2021-01-02,21633,523,16521,4589
Russia,Jewish Autonomous Okrug,2021-01-02,3779,72,2983,724
Russia,Kabardino-Balkarian Republic,2021-01-02,16026,263,14248,1515
Russia,Kaliningrad Oblast,2021-01-02,18221,178,16360,1683
Russia,Kalmykia Republic,2021-01-02,14982,200,12519,2263
Russia,Kaluga Oblast,2021-01-02,21392,172,19969,1251
Russia,Kamchatka Krai,2021-01-02,10252,82,9040,1130
Russia,Karachay-Cherkess Republic,2021-01-02,15302,41,13746,1515
Russia,Karelia Republic,2021-01-02,28271,166,21985,6120
Russia,Kemerovo Oblast,2021-01-02,26024,472,23128,2424
Russia,Khabarovsk Krai,2021-01-02,35756,204,31491,4061
Russia,Khakassia Republic,2021-01-02,17795,269,14830,2696
Russia,Khanty-Mansi Autonomous Okrug,2021-01-02,41740,546,38135,3059
Russia,Kirov Oblast,2021-01-02,26105,231,19689,6185
